Name,Grade,Cut-Off,Branches-Allowed,Details
Amadeus,A++,55,COE; ECE; ICE; IT; PC; IS; SP,3Further Shortlisting Possible
PWC,A++,60,COE; ECE; ICE; MPA; IT; BT; M.Tech(SP); M.Tech(IS); M.Tech(PC),0Further Shortlisting Possible
,,0,,
BAT,Dream,0,COE; ECE; ICE; MPA; IT; BT; M.Tech(SP); M.Tech(IS); M.Tech(PC),999
Jindal Steel,A+,60,ICE; MPA,0
Maruti Suzuki ,A++,65,ECE; MPA,0
AESL Physics,A+,0,COE; ECE; ICE; MPA; IT; BT; M.Tech(SP); M.Tech(IS); M.Tech(PC),123
AESL Chemistry,A+,0,COE; ECE; ICE; MPA; IT; BT; M.Tech(SP); M.Tech(IS); M.Tech(PC),123
AESL Mathematics,A+,0,COE; ECE; ICE; MPA; IT; BT; M.Tech(SP); M.Tech(IS); M.Tech(PC),123
AESL Botany,A+,0,COE; ECE; ICE; MPA; IT; BT; M.Tech(SP); M.Tech(IS); M.Tech(PC),123
AESL Zoology,A+,0,COE; ECE; ICE; MPA; IT; BT; M.Tech(SP); M.Tech(IS); M.Tech(PC),123
Cvent(Application Support Engineer),A+,0,COE; ECE; IT; M.Tech(IS),5Further shortlisting possible
Cvent(Software Engineer),A+,0,COE; ECE; IT; M.Tech(IS),5Further shortlisting possible
Cvent(IS Support Engineer ),A+,0,COE; ECE; IT; M.Tech(IS),5Further shortlisting possible
Cvent(Quality Engineer),A+,0,COE; ECE; IT; M.Tech(IS),5Further shortlisting possible
Goldman Sachs,Dream,0,COE; ECE; IT; ICE; MPA; BT,123Further shortlisting possible
SAP Labs.,A++,65,COE; IT,1Further shortlisting possible.
Samsung Labs,A++,55,COE; M.Tech(IS),1Further Shortlisting Possible
RIL,A++,58,ICE,1
Barclays,A++,60,COE; ECE; ICE; IT,123Further shortlisting possible
Lexity,Dream,55,COE; IT; M.Tech(IS),3Students having a package of 7 LPA and below can apply. Resume/Percentage Based Shortlisting Possible.
Hero Moto Corp,A++,60,MPA,1
,,0,,
Zomato_Software,A++,0,COE; ECE; ICE; MPA; IT; BT,1010Further shortlisting possible
Zomato_Sales,A++,0,COE; ECE; ICE; MPA; IT; BT,1010Further shortlisting possible
Synopsys,A++,0,COE; ECE; ICE; M.Tech(SP),1010Further shortlisting possible
WalMart,Dream,0,COE; ECE; ICE; IT; M.Tech(IS),9894Students having a package of 7.5 LPA and below can apply. Resume/Percentage Based Shortlisting Possible.
Honda SIEL,A+,63,MPA,0
Ophio,A++,48,COE; ECE; ICE; MPA; IT; BT; M.Tech(SP); M.Tech(IS); M.Tech(PC),1010Further shortlisting possible.
CSC,A,40,COE; ECE; ICE; IT; PC; SP; IS,10
Ernst and Young,A++,55,COE; ECE; IT,1Further Shortlisting Possible
Capgemini,A,50,COE; ECE; ICE; MPA; IT; BT; M.Tech(SP); M.Tech(IS); M.Tech(PC),123
U.S. Universities,Dream,0,COE; ECE; ICE; MPA; IT; BT; M.Tech(SP); M.Tech(IS); M.Tech(PC),123Category is Exclusive
BPCL,A++,60,ICE,0Further shortlisting possible.
